lots,trades,mean_gross,mean_base_slippage,mean_ladder_impact,mean_volume_impact,mean_oi_impact,mean_impact,mean_cost,mean_net,net_win_rate,mean_participation_impact,impact_to_base_ratio,ladder_share_of_impact
53,272,5444.873161764704,3491.2355425328574,3077.0211561306537,479.6217656705259,106.91816791952795,3663.5610897207075,8263.423359783605,-2818.5501980189024,0.4889705882352941,586.5399335900538,1.0493594731975115,0.83989896190464
54,272,5547.606617647056,3557.1079112598923,3195.368123674141,493.33986538073356,109.97796049294018,3798.6859495478147,8481.750256679961,-2934.1436390329045,0.4889705882352941,603.3178258736738,1.0679141719381682,0.8411772297350637
55,272,5650.340073529408,3622.980279986927,3315.948052869391,507.18622571735744,113.06639264850564,3936.2006712352545,8702.466088782734,-3052.126015253325,0.4852941176470588,620.2526183658631,1.0864537941259391,0.8424235271086379
56,272,5753.073529411761,3688.8526487139625,3438.7609437164056,521.1596683255441,116.18320126891729,4076.103813310867,8925.569415140993,-3172.4958857292313,0.4852941176470588,637.3428695944614,1.1049787566689364,0.8436391959613091
57,272,5855.806985294114,3754.7250174409974,3563.806796215184,535.2590467390186,119.328130357335,4218.393973311538,9151.058833798743,-3295.251848504628,0.48161764705882354,654.5871770963536,1.1234894576078835,0.8448254996480361
58,272,5958.5404411764675,3820.5973861680322,3691.085610365726,549.4832449674168,122.50093072194828,4363.069786055092,9378.93298006745,-3420.392538890982,0.48161764705882354,671.9841756893651,1.1419862772903027,0.8459836288117348
59,272,6061.27389705882,3886.469754895068,3820.5973861680327,563.8311761696996,125.70135967976003,4510.1299220174915,9609.190524903825,-3547.9166278450048,0.48161764705882354,689.5325358494596,1.1604695794523845,0.8471147067220153
60,272,6164.007352941173,3952.342123622102,3952.342123622102,578.3017814070196,128.92918077811157,4659.573085807234,9841.830173384766,-3677.8228204435936,0.48161764705882354,707.2309621851311,1.1789397122172698,0.8482197941396579
61,272,6266.740808823526,4018.2144923491373,4086.3198227279363,592.8940284690246,132.18416353260568,4811.398014729567,10076.85066327211,-3810.1098544485826,0.48161764705882354,725.0781920016303,1.1973970090174846,0.8492998937560594
62,272,6369.474264705879,4084.086861076172,4222.530483485534,607.6069107681343,135.4660831802069,4965.603477433875,10314.250763660482,-3944.7764989546035,0.48161764705882354,743.0729939483413,1.215841789448479,0.8503559542510337
63,272,6472.2077205882315,4149.959229803208,4360.974105894897,622.4394462968056,138.7747204464078,5122.18827263811,10554.029273702214,-4081.8215531139826,0.48161764705882354,761.2141667432134,1.2342743600594375,0.8513888740073272
64,272,6574.941176470585,4215.831598530242,4501.650689956023,637.3906766432538,142.10986132544656,5281.151227924722,10796.185021403695,-4221.243844933109,0.48161764705882354,779.5005379687003,1.2526950150869118,0.8523995045157964
65,272,6677.674632352938,4281.703967257278,4644.560235668911,652.459666061478,145.47129687265166,5442.491198603041,11040.716862488163,-4363.0422301352255,0.48161764705882354,797.9309629341296,1.2711040371362539,0.8533886535013709
66,272,6780.408088235291,4347.576335984313,4789.702743033565,667.6455005918016,148.8588230080652,5606.207066633431,11287.623679320262,-4507.215591084972,0.48161764705882354,816.5043235998668,1.2895016978153089,0.8543570877965834
67,272,6883.141544117643,4413.448704711348,4937.078212049982,682.9472872284538,152.2722403305704,5772.297739609006,11536.904379888112,-4653.762835770468,0.48161764705882354,835.2195275590242,1.3078882583244005,0.8553055359865066
68,272,6985.874999999996,4479.321073438383,5086.686642718164,698.3641531310034,155.7113539418113,5940.762149790979,11788.557896839011,-4802.6828968390155,0.48161764705882354,854.0755070728146,1.3262639700062346,0.8562346908463816
69,272,7088.608455882349,4545.193442165418,5238.528035038109,713.8952448767236,159.17597327925137,6111.599253194084,12042.583186565196,-4953.974730682847,0.48161764705882354,873.071218155975,1.3446290748590009,0.8571452115909458
70,272,7191.341911764702,4611.065810892453,5392.602389009818,729.5397277511915,162.6659119577703,6284.8080287187795,12298.979228336344,-5107.637316571642,0.48161764705882354,892.2056397089618,1.362983806015638,0.8580377259524907
71,272,7294.075367647055,4676.9381796194875,5548.909704633291,745.2967850746481,166.18098761924534,6460.387477327185,12557.74502347582,-5263.669655828765,0.48161764705882354,911.4777726938935,1.3813283881919511,0.8589128321029138
72,272,7396.808823529407,4742.810548346523,5707.449981908527,761.1656175618319,169.72102178960742,6638.336621259967,12818.879594577846,-5422.070771048438,0.48161764705882354,930.8866393514394,1.3996630381060187,0.8597711004334764
73,272,7499.54227941176,4808.682917073558,5868.223220835529,777.1454427131796,173.28583974290072,6818.65450329161,13082.381984763028,-5582.839705351267,0.47794117647058826,950.4312824560803,1.4179879648711107,0.8606130752046062
