profile,config_id,trade_id,trade_date,entry_ts,split,confidence_score,risk_fraction,drawdown_before,losing_streak_before,margin_cap_lots,risk_cap_lots,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,margin_rupees,equity_before,equity_after,margin_utilization
max_margin_efficiency_dd_1.5%,5628,952,2022-05-23,2022-05-23 06:43:00+00:00,discovery_2021_2023,0.0416666666666666,0.0,-0.005228336937731837,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1022018.8333699425,1022018.8333699425,0.0
max_margin_efficiency_dd_1.5%,5628,954,2022-05-26,2022-05-26 07:43:00+00:00,discovery_2021_2023,0.625,0.04,-0.005228336937731837,0,8,10,8,9719.999999999998,560.9440208788264,9159.05597912117,62705.80608905319,321590.4072490079,1022018.8333699425,1031177.8893490636,0.314661918889122
max_margin_efficiency_dd_1.5%,5628,955,2022-05-30,2022-05-30 08:25:00+00:00,discovery_2021_2023,0.4861111111111111,0.04,0.0,0,7,25,7,69.99999999999851,1308.6060920539007,-1238.6060920539023,289064.2690943647,338319.7224174202,1031177.8893490636,1029939.2832570097,0.32809055150609007
max_margin_efficiency_dd_1.5%,5628,957,2022-06-07,2022-06-07 05:47:00+00:00,discovery_2021_2023,0.1944444444444444,0.0,-0.0012011565655619671,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1029939.2832570097,1029939.2832570097,0.0
max_margin_efficiency_dd_1.5%,5628,959,2022-06-13,2022-06-13 05:16:00+00:00,discovery_2021_2023,0.125,0.0,-0.0012011565655619671,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1029939.2832570097,1029939.2832570097,0.0
max_margin_efficiency_dd_1.5%,5628,960,2022-06-14,2022-06-14 05:25:00+00:00,discovery_2021_2023,0.1111111111111111,0.0,-0.0012011565655619671,0,7,0,0,0.0,0.0,0.0,0.0,0.0,1029939.2832570097,1029939.2832570097,0.0
max_margin_efficiency_dd_1.5%,5628,962,2022-06-16,2022-06-16 06:40:00+00:00,discovery_2021_2023,0.5416666666666666,0.04,-0.0012011565655619671,0,9,11,9,-2519.999999999999,738.3181449413335,-3258.3181449413323,111532.40339123146,358243.12851374055,1029939.2832570097,1026680.9651120683,0.3478293665825202
max_margin_efficiency_dd_1.5%,5628,963,2022-06-23,2022-06-23 05:03:00+00:00,discovery_2021_2023,0.1666666666666666,0.0,-0.004360958747703592,0,9,0,0,0.0,0.0,0.0,0.0,0.0,1026680.9651120683,1026680.9651120683,0.0
max_margin_efficiency_dd_1.5%,5628,968,2022-07-27,2022-07-27 06:08:00+00:00,discovery_2021_2023,0.3472222222222222,0.0,-0.004360958747703592,0,8,0,0,0.0,0.0,0.0,0.0,0.0,1026680.9651120683,1026680.9651120683,0.0
max_margin_efficiency_dd_1.5%,5628,969,2022-07-28,2022-07-28 06:19:00+00:00,discovery_2021_2023,0.5277777777777778,0.04,-0.004360958747703592,0,8,8,8,2399.999999999999,456.8968513806325,1943.1031486193665,54911.35197970454,334431.1736446539,1026680.9651120683,1028624.0682606878,0.3257401130526938
