trade_id,signal_family,structure,hold_sessions,entry_ts,exit_ts,entry_trade_date,exit_trade_date,expiry_date,lot_size,gross_pnl_points,gross_pnl_rupees,total_cost_rupees,cost_hurdle_points,net_pnl_rupees
60,lower10_down,long_iron_condor,1,2022-03-23 12:10:00+05:30,2022-03-24 12:10:00+05:30,2022-03-23,2022-03-24 00:00:00,2022-04-07 00:00:00,50,-31.89999999999999,-1594.9999999999995,268.0136045930234,5.360272091860468,-1863.013604593023
61,lower10_down,long_iron_condor,1,2022-03-28 12:34:00+05:30,2022-03-29 12:34:00+05:30,2022-03-28,2022-03-29 00:00:00,2022-04-13 00:00:00,50,-2.3000000000000043,-115.00000000000021,343.49890313302467,6.869978062660493,-458.4989031330249
62,lower10_down,long_iron_condor,1,2022-04-04 10:54:00+05:30,2022-04-05 10:54:00+05:30,2022-04-04,2022-04-05 00:00:00,2022-04-13 00:00:00,50,-3.6000000000000156,-180.0000000000008,277.2295992785932,5.544591985571864,-457.229599278594
63,lower10_down,long_iron_condor,1,2022-04-05 14:03:00+05:30,2022-04-06 14:03:00+05:30,2022-04-05,2022-04-06 00:00:00,2022-04-13 00:00:00,50,10.000000000000007,500.00000000000034,269.7945736498991,5.395891472997983,230.20542635010122
64,lower10_down,long_iron_condor,1,2022-04-08 10:42:00+05:30,2022-04-11 10:42:00+05:30,2022-04-08,2022-04-11 00:00:00,2022-04-21 00:00:00,50,-5.500000000000007,-275.00000000000034,292.7224592800354,5.854449185600709,-567.7224592800358
65,lower10_down,long_iron_condor,1,2022-04-20 11:31:00+05:30,2022-04-21 11:31:00+05:30,2022-04-20,2022-04-21 00:00:00,2022-05-05 00:00:00,50,34.949999999999996,1747.4999999999998,266.1168812487771,5.322337624975542,1481.3831187512228
66,lower10_down,long_iron_condor,1,2022-04-22 14:06:00+05:30,2022-04-25 14:06:00+05:30,2022-04-22,2022-04-25 00:00:00,2022-05-12 00:00:00,50,-1.1000000000000014,-55.00000000000007,338.8710898469477,6.777421796938954,-393.87108984694777
67,lower10_down,long_iron_condor,1,2022-04-25 12:40:00+05:30,2022-04-26 12:40:00+05:30,2022-04-25,2022-04-26 00:00:00,2022-05-12 00:00:00,50,4.5,225.0,338.6484003146338,6.772968006292676,-113.64840031463382
68,lower10_down,long_iron_condor,1,2022-05-04 14:05:00+05:30,2022-05-05 14:05:00+05:30,2022-05-04,2022-05-05 00:00:00,2022-05-12 00:00:00,50,-4.1000000000000085,-205.00000000000043,262.02878954804976,5.240575790960995,-467.0287895480502
69,lower10_down,long_iron_condor,1,2022-05-06 10:30:00+05:30,2022-05-09 10:30:00+05:30,2022-05-06,2022-05-09 00:00:00,2022-05-19 00:00:00,50,-2.749999999999986,-137.4999999999993,392.48717312078685,7.849743462415737,-529.9871731207861
70,lower10_down,long_iron_condor,1,2022-05-09 13:05:00+05:30,2022-05-10 13:05:00+05:30,2022-05-09,2022-05-10 00:00:00,2022-05-19 00:00:00,50,-3.3000000000000114,-165.00000000000057,346.2077311370423,6.924154622740846,-511.20773113704286
71,lower10_down,long_iron_condor,1,2022-05-10 13:46:00+05:30,2022-05-11 13:46:00+05:30,2022-05-10,2022-05-11 00:00:00,2022-05-19 00:00:00,50,8.100000000000009,405.00000000000045,353.6739012960451,7.073478025920902,51.32609870395538
72,lower10_down,long_iron_condor,1,2022-05-11 10:28:00+05:30,2022-05-12 10:28:00+05:30,2022-05-11,2022-05-12 00:00:00,2022-05-19 00:00:00,50,0.5500000000000114,27.50000000000057,311.666680821303,6.2333336164260595,-284.1666808213024
73,lower10_down,long_iron_condor,1,2022-05-13 12:43:00+05:30,2022-05-16 12:43:00+05:30,2022-05-13,2022-05-16 00:00:00,2022-06-02 00:00:00,50,-2.2999999999999687,-114.99999999999844,426.64784573054396,8.53295691461088,-541.6478457305424
74,lower10_down,long_iron_condor,1,2022-05-16 10:48:00+05:30,2022-05-17 10:48:00+05:30,2022-05-16,2022-05-17 00:00:00,2022-06-02 00:00:00,50,2.599999999999987,129.99999999999937,377.07576425696914,7.541515285139383,-247.07576425696976
76,lower10_down,long_iron_condor,1,2022-05-23 14:11:00+05:30,2022-05-24 14:11:00+05:30,2022-05-23,2022-05-24 00:00:00,2022-06-09 00:00:00,50,-2.450000000000017,-122.50000000000085,376.55044483181166,7.531008896636234,-499.0504448318125
77,lower10_down,long_iron_condor,1,2022-05-24 13:10:00+05:30,2022-05-25 13:10:00+05:30,2022-05-24,2022-05-25 00:00:00,2022-06-09 00:00:00,50,-10.150000000000006,-507.5000000000003,328.03342126410996,6.560668425282199,-835.5334212641103
78,lower10_down,long_iron_condor,1,2022-05-26 13:39:00+05:30,2022-05-27 13:39:00+05:30,2022-05-26,2022-05-27 00:00:00,2022-06-09 00:00:00,50,58.999999999999986,2949.999999999999,312.1295146113973,6.242590292227947,2637.870485388602
79,lower10_down,long_iron_condor,1,2022-05-27 10:49:00+05:30,2022-05-30 10:49:00+05:30,2022-05-27,2022-05-30 00:00:00,2022-06-09 00:00:00,50,4.30000000000004,215.000000000002,400.0243104622781,8.000486209245562,-185.0243104622761
80,lower10_down,long_iron_condor,1,2022-06-08 10:39:00+05:30,2022-06-09 10:39:00+05:30,2022-06-08,2022-06-09 00:00:00,2022-06-16 00:00:00,50,-19.00000000000001,-950.0000000000006,240.15038067452736,4.803007613490547,-1190.150380674528
81,lower10_down,long_iron_condor,1,2022-06-17 14:03:00+05:30,2022-06-20 14:03:00+05:30,2022-06-17,2022-06-20 00:00:00,2022-07-07 00:00:00,50,-4.8999999999999915,-244.99999999999957,400.5299120031334,8.010598240062668,-645.529912003133
82,lower10_down,long_iron_condor,1,2022-06-20 11:22:00+05:30,2022-06-21 11:22:00+05:30,2022-06-20,2022-06-21 00:00:00,2022-07-07 00:00:00,50,5.250000000000014,262.5000000000007,380.43618982270885,7.608723796454177,-117.93618982270817
83,lower10_down,long_iron_condor,1,2022-07-01 10:31:00+05:30,2022-07-04 10:31:00+05:30,2022-07-01,2022-07-04 00:00:00,2022-07-14 00:00:00,50,-2.8000000000000327,-140.00000000000165,364.4471072907287,7.288942145814574,-504.44710729073034
84,lower10_down,long_iron_condor,1,2022-07-29 11:09:00+05:30,2022-08-01 11:09:00+05:30,2022-07-29,2022-08-01 00:00:00,2022-08-11 00:00:00,50,2.8499999999999943,142.49999999999972,293.39174203435334,5.867834840687067,-150.89174203435363
86,lower10_down,long_iron_condor,1,2022-08-19 11:45:00+05:30,2022-08-22 11:45:00+05:30,2022-08-19,2022-08-22 00:00:00,2022-09-08 00:00:00,50,1.1999999999999886,59.99999999999943,314.96577942614533,6.299315588522907,-254.9657794261459
87,lower10_down,long_iron_condor,1,2022-08-23 11:01:00+05:30,2022-08-24 11:01:00+05:30,2022-08-23,2022-08-24 00:00:00,2022-09-08 00:00:00,50,5.399999999999984,269.9999999999992,264.22614547259724,5.284522909451945,5.773854527401966
88,lower10_down,long_iron_condor,1,2022-09-26 13:02:00+05:30,2022-09-27 13:02:00+05:30,2022-09-26,2022-09-27 00:00:00,2022-10-13 00:00:00,50,-4.949999999999996,-247.49999999999977,328.8869835140466,6.577739670280932,-576.3869835140464
89,lower10_down,long_iron_condor,1,2022-09-27 11:14:00+05:30,2022-09-28 11:14:00+05:30,2022-09-27,2022-09-28 00:00:00,2022-10-13 00:00:00,50,-12.849999999999987,-642.4999999999993,300.70494542657616,6.0140989085315235,-943.2049454265755
90,lower10_down,long_iron_condor,1,2022-09-28 12:27:00+05:30,2022-09-29 12:27:00+05:30,2022-09-28,2022-09-29 00:00:00,2022-10-13 00:00:00,50,-9.749999999999993,-487.49999999999966,249.53921637904847,4.990784327580969,-737.0392163790482
91,lower10_down,long_iron_condor,1,2022-12-16 13:01:00+05:30,2022-12-19 13:01:00+05:30,2022-12-16,2022-12-19 00:00:00,2023-01-05 00:00:00,50,-4.100000000000001,-205.00000000000006,241.51273122290684,4.830254624458137,-446.5127312229069
92,lower10_down,long_iron_condor,1,2022-12-23 12:21:00+05:30,2022-12-26 12:21:00+05:30,2022-12-23,2022-12-26 00:00:00,2023-01-12 00:00:00,50,-3.000000000000007,-150.00000000000034,271.74284244148544,5.434856848829709,-421.7428424414858
93,lower10_down,long_iron_condor,1,2022-12-27 10:22:00+05:30,2022-12-28 10:22:00+05:30,2022-12-27,2022-12-28 00:00:00,2023-01-12 00:00:00,50,1.5500000000000043,77.50000000000021,244.66383579346495,4.893276715869299,-167.16383579346473
94,lower10_down,long_iron_condor,1,2023-01-11 10:21:00+05:30,2023-01-12 10:21:00+05:30,2023-01-11,2023-01-12 00:00:00,2023-01-19 00:00:00,50,-0.8000000000000043,-40.00000000000021,231.91458451040165,4.638291690208033,-271.9145845104019
95,lower10_down,long_iron_condor,1,2023-01-27 10:26:00+05:30,2023-01-30 10:26:00+05:30,2023-01-27,2023-01-30 00:00:00,2023-02-09 00:00:00,50,-0.9000000000000341,-45.000000000001705,347.35800257245603,6.947160051449121,-392.35800257245774
96,lower10_down,long_iron_condor,1,2023-01-30 14:06:00+05:30,2023-01-31 14:06:00+05:30,2023-01-30,2023-01-31 00:00:00,2023-02-09 00:00:00,50,-1.049999999999983,-52.49999999999915,325.4708889065115,6.5094177781302305,-377.97088890651065
97,lower10_down,long_iron_condor,1,2023-02-01 12:24:00+05:30,2023-02-02 12:24:00+05:30,2023-02-01,2023-02-02 00:00:00,2023-02-09 00:00:00,50,23.85,1192.5,275.0423554422007,5.500847108844014,917.4576445577993
98,lower10_down,long_iron_condor,1,2023-02-03 10:44:00+05:30,2023-02-06 10:44:00+05:30,2023-02-03,2023-02-06 00:00:00,2023-02-16 00:00:00,50,-1.0999999999999943,-54.999999999999716,281.89817777294303,5.63796355545886,-336.89817777294274
99,lower10_down,long_iron_condor,1,2023-02-06 10:33:00+05:30,2023-02-07 10:33:00+05:30,2023-02-06,2023-02-07 00:00:00,2023-02-16 00:00:00,50,-5.150000000000002,-257.5000000000001,252.9343545343471,5.058687090686942,-510.4343545343472
100,lower10_down,long_iron_condor,1,2023-02-27 11:54:00+05:30,2023-02-28 11:54:00+05:30,2023-02-27,2023-02-28 00:00:00,2023-03-09 00:00:00,50,-6.700000000000017,-335.00000000000085,233.04241258121132,4.660848251624227,-568.0424125812121
101,lower10_down,long_iron_condor,1,2023-03-13 10:29:00+05:30,2023-03-14 10:29:00+05:30,2023-03-13,2023-03-14 00:00:00,2023-03-23 00:00:00,50,24.10000000000001,1205.0000000000005,290.7716535168837,5.815433070337674,914.2283464831168
102,lower10_down,long_iron_condor,1,2023-03-14 12:25:00+05:30,2023-03-15 12:25:00+05:30,2023-03-14,2023-03-15 00:00:00,2023-03-23 00:00:00,50,-11.900000000000002,-595.0000000000001,236.81021259315958,4.7362042518631915,-831.8102125931597
104,lower10_down,long_iron_condor,1,2023-03-17 11:13:00+05:30,2023-03-20 11:13:00+05:30,2023-03-17,2023-03-20 00:00:00,2023-04-06 00:00:00,50,-3.200000000000003,-160.00000000000014,280.72500568691106,5.614500113738221,-440.72500568691123
105,lower10_down,long_iron_condor,1,2023-03-24 10:28:00+05:30,2023-03-27 10:28:00+05:30,2023-03-24,2023-03-27 00:00:00,2023-04-13 00:00:00,50,-5.149999999999999,-257.49999999999994,251.96185389561322,5.039237077912264,-509.46185389561316
106,lower10_down,long_iron_condor,1,2023-05-05 11:35:00+05:30,2023-05-08 11:35:00+05:30,2023-05-05,2023-05-08 00:00:00,2023-05-18 00:00:00,50,3.4999999999999964,174.99999999999983,233.8252806508645,4.67650561301729,-58.82528065086467
107,lower10_down,long_iron_condor,1,2023-05-19 11:26:00+05:30,2023-05-22 11:26:00+05:30,2023-05-19,2023-05-22 00:00:00,2023-06-08 00:00:00,50,9.750000000000007,487.50000000000034,243.58250354422813,4.871650070884563,243.9174964557722
108,lower10_down,long_iron_condor,1,2023-07-18 12:14:00+05:30,2023-07-19 12:14:00+05:30,2023-07-18,2023-07-19 00:00:00,2023-08-03 00:00:00,50,-5.049999999999997,-252.49999999999986,224.64307812742248,4.49286156254845,-477.1430781274223
109,lower10_down,long_iron_condor,1,2023-09-12 10:27:00+05:30,2023-09-13 10:27:00+05:30,2023-09-12,2023-09-13 00:00:00,2023-09-21 00:00:00,50,-8.550000000000011,-427.50000000000057,224.85697653459766,4.497139530691953,-652.3569765345983
110,lower10_down,long_iron_condor,1,2023-10-25 13:06:00+05:30,2023-10-26 13:06:00+05:30,2023-10-25,2023-10-26 00:00:00,2023-11-09 00:00:00,50,36.84999999999999,1842.4999999999993,238.79083230281523,4.775816646056304,1603.709167697184
111,lower10_down,long_iron_condor,1,2023-12-05 11:58:00+05:30,2023-12-06 11:58:00+05:30,2023-12-05,2023-12-06 00:00:00,2023-12-14 00:00:00,50,14.85000000000002,742.5000000000009,249.70841482428216,4.994168296485643,492.79158517571875
112,lower10_down,long_iron_condor,1,2023-12-20 13:35:00+05:30,2023-12-21 13:35:00+05:30,2023-12-20,2023-12-21 00:00:00,2024-01-04 00:00:00,50,-40.25,-2012.5,222.7645566078014,4.455291132156028,-2235.2645566078013
114,lower10_down,long_iron_condor,1,2023-12-22 13:57:00+05:30,2023-12-26 13:57:00+05:30,2023-12-22,2023-12-26 00:00:00,2024-01-11 00:00:00,50,7.25,362.5,286.5330855578567,5.730661711157134,75.96691444214332
115,lower10_down,long_iron_condor,1,2024-01-02 10:52:00+05:30,2024-01-03 10:52:00+05:30,2024-01-02,2024-01-03 00:00:00,2024-01-11 00:00:00,50,-13.050000000000004,-652.5000000000002,240.48378706060998,4.8096757412121995,-892.9837870606102
116,lower10_down,long_iron_condor,1,2024-01-08 11:55:00+05:30,2024-01-09 11:55:00+05:30,2024-01-08,2024-01-09 00:00:00,2024-01-18 00:00:00,50,7.299999999999994,364.99999999999966,250.86140024802955,5.017228004960591,114.1385997519701
118,lower10_down,long_iron_condor,1,2024-01-19 11:41:00+05:30,2024-01-20 11:41:00+05:30,2024-01-19,2024-01-20 00:00:00,2024-02-08 00:00:00,50,0.09999999999999432,4.999999999999716,285.9472005713716,5.718944011427432,-280.94720057137187
119,lower10_down,long_iron_condor,1,2024-01-23 10:43:00+05:30,2024-01-24 10:43:00+05:30,2024-01-23,2024-01-24 00:00:00,2024-02-08 00:00:00,50,-0.25,-12.5,266.4844109276485,5.32968821855297,-278.9844109276485
120,lower10_down,long_iron_condor,1,2024-01-24 11:35:00+05:30,2024-01-25 11:35:00+05:30,2024-01-24,2024-01-25 00:00:00,2024-02-08 00:00:00,50,-22.700000000000003,-1135.0000000000002,236.52874935345739,4.730574987069148,-1371.5287493534577
121,lower10_down,long_iron_condor,1,2024-01-25 12:04:00+05:30,2024-01-29 12:04:00+05:30,2024-01-25,2024-01-29 00:00:00,2024-02-08 00:00:00,50,49.200000000000024,2460.0000000000014,313.18471634297265,6.263694326859453,2146.815283657029
123,lower10_down,long_iron_condor,1,2024-02-02 11:34:00+05:30,2024-02-05 11:34:00+05:30,2024-02-02,2024-02-05 00:00:00,2024-02-15 00:00:00,50,-0.549999999999983,-27.499999999999147,308.80410657673997,6.176082131534799,-336.3041065767391
125,lower10_down,long_iron_condor,1,2024-02-09 10:36:00+05:30,2024-02-12 10:36:00+05:30,2024-02-09,2024-02-12 00:00:00,2024-02-22 00:00:00,50,-4.8500000000000085,-242.50000000000043,311.34475697354515,6.226895139470903,-553.8447569735456
126,lower10_down,long_iron_condor,1,2024-02-12 10:40:00+05:30,2024-02-13 10:40:00+05:30,2024-02-12,2024-02-13 00:00:00,2024-02-22 00:00:00,50,-2.8500000000000085,-142.50000000000043,286.86623264763557,5.7373246529527115,-429.366232647636
127,lower10_down,long_iron_condor,1,2024-02-13 10:43:00+05:30,2024-02-14 10:43:00+05:30,2024-02-13,2024-02-14 00:00:00,2024-02-22 00:00:00,50,-8.250000000000007,-412.50000000000034,266.51795092867894,5.330359018573579,-679.0179509286793
129,lower10_down,long_iron_condor,1,2024-02-28 11:04:00+05:30,2024-02-29 11:04:00+05:30,2024-02-28,2024-02-29 00:00:00,2024-03-14 00:00:00,50,0.6499999999999915,32.499999999999574,253.27991640392878,5.0655983280785755,-220.7799164039292
130,lower10_down,long_iron_condor,1,2024-02-29 10:51:00+05:30,2024-03-01 10:51:00+05:30,2024-02-29,2024-03-01 00:00:00,2024-03-14 00:00:00,50,35.45000000000002,1772.500000000001,300.2601316080818,6.005202632161636,1472.2398683919191
131,lower10_down,long_iron_condor,1,2024-03-01 11:46:00+05:30,2024-03-02 11:46:00+05:30,2024-03-01,2024-03-02 00:00:00,2024-03-14 00:00:00,50,-1.200000000000017,-60.00000000000085,314.5017165260135,6.29003433052027,-374.5017165260144
132,lower10_down,long_iron_condor,1,2024-03-06 10:31:00+05:30,2024-03-07 10:31:00+05:30,2024-03-06,2024-03-07 00:00:00,2024-03-14 00:00:00,50,26.449999999999996,1322.4999999999998,245.13127585394864,4.902625517078973,1077.3687241460511
133,lower10_down,long_iron_condor,1,2024-03-12 10:49:00+05:30,2024-03-13 10:49:00+05:30,2024-03-12,2024-03-13 00:00:00,2024-03-21 00:00:00,50,-7.549999999999997,-377.4999999999999,247.03300912698398,4.94066018253968,-624.5330091269839
134,lower10_down,long_iron_condor,1,2024-03-13 11:43:00+05:30,2024-03-14 11:43:00+05:30,2024-03-13,2024-03-14 00:00:00,2024-03-21 00:00:00,50,-25.699999999999996,-1284.9999999999998,230.57298538760296,4.611459707752059,-1515.5729853876028
135,lower10_down,long_iron_condor,1,2024-03-18 10:48:00+05:30,2024-03-19 10:48:00+05:30,2024-03-18,2024-03-19 00:00:00,2024-04-04 00:00:00,50,-1.54999999999999,-77.4999999999995,275.90738480920294,5.518147696184059,-353.4073848092024
136,lower10_down,long_iron_condor,1,2024-03-20 11:53:00+05:30,2024-03-21 11:53:00+05:30,2024-03-20,2024-03-21 00:00:00,2024-04-04 00:00:00,50,18.149999999999995,907.4999999999998,235.32894853700873,4.706578970740175,672.171051462991
137,lower10_down,long_iron_condor,1,2024-03-22 10:25:00+05:30,2024-03-26 10:25:00+05:30,2024-03-22,2024-03-26 00:00:00,2024-04-10 00:00:00,50,-6.800000000000011,-340.00000000000057,259.9980758267132,5.199961516534264,-599.9980758267138
139,lower10_down,long_iron_condor,1,2024-04-12 12:21:00+05:30,2024-04-15 12:21:00+05:30,2024-04-12,2024-04-15 00:00:00,2024-05-02 00:00:00,25,2.3000000000000114,57.500000000000284,223.03243942639284,8.921297577055714,-165.53243942639256
141,lower10_down,long_iron_condor,1,2024-04-19 12:26:00+05:30,2024-04-22 12:26:00+05:30,2024-04-19,2024-04-22 00:00:00,2024-05-09 00:00:00,25,6.749999999999972,168.7499999999993,249.37259276362903,9.974903710545162,-80.62259276362974
142,lower10_down,long_iron_condor,1,2024-05-03 10:37:00+05:30,2024-05-06 10:37:00+05:30,2024-05-03,2024-05-06 00:00:00,2024-05-16 00:00:00,25,-1.7999999999999972,-44.99999999999993,242.34385087174954,9.69375403486998,-287.34385087174945
143,lower10_down,long_iron_condor,1,2024-05-07 11:46:00+05:30,2024-05-08 11:46:00+05:30,2024-05-07,2024-05-08 00:00:00,2024-05-16 00:00:00,25,-9.099999999999987,-227.4999999999997,227.4001922395474,9.096007689581896,-454.9001922395471
144,lower10_down,long_iron_condor,1,2024-05-08 11:21:00+05:30,2024-05-09 11:21:00+05:30,2024-05-08,2024-05-09 00:00:00,2024-05-16 00:00:00,25,14.749999999999993,368.74999999999983,222.02098949871066,8.880839579948427,146.72901050128917
145,lower10_down,long_iron_condor,1,2024-05-10 11:05:00+05:30,2024-05-13 11:05:00+05:30,2024-05-10,2024-05-13 00:00:00,2024-05-23 00:00:00,25,-3.7499999999999716,-93.74999999999929,264.59464768000095,10.583785907200038,-358.3446476800002
146,lower10_down,long_iron_condor,1,2024-05-13 11:09:00+05:30,2024-05-14 11:09:00+05:30,2024-05-13,2024-05-14 00:00:00,2024-05-23 00:00:00,25,5.199999999999996,129.9999999999999,268.46939875373687,10.738775950149474,-138.46939875373698
150,lower10_down,long_iron_condor,1,2024-06-07 10:42:00+05:30,2024-06-10 10:42:00+05:30,2024-06-07,2024-06-10 00:00:00,2024-06-20 00:00:00,25,0.7999999999999972,19.99999999999993,288.1904574542399,11.527618298169596,-268.19045745423995
151,lower10_down,long_iron_condor,1,2024-06-19 10:44:00+05:30,2024-06-20 10:44:00+05:30,2024-06-19,2024-06-20 00:00:00,2024-07-04 00:00:00,25,-21.850000000000012,-546.2500000000003,207.9499905122064,8.317999620488257,-754.1999905122068
153,lower10_down,long_iron_condor,1,2024-06-21 10:59:00+05:30,2024-06-24 10:59:00+05:30,2024-06-21,2024-06-24 00:00:00,2024-07-11 00:00:00,25,-2.9999999999999787,-74.99999999999946,227.87670636013442,9.115068254405378,-302.8767063601339
154,lower10_down,long_iron_condor,1,2024-06-24 11:53:00+05:30,2024-06-25 11:53:00+05:30,2024-06-24,2024-06-25 00:00:00,2024-07-11 00:00:00,25,-4.099999999999994,-102.49999999999986,222.76695065331614,8.910678026132645,-325.26695065331603
155,lower10_down,long_iron_condor,1,2024-06-27 11:17:00+05:30,2024-06-28 11:17:00+05:30,2024-06-27,2024-06-28 00:00:00,2024-07-11 00:00:00,25,40.85,1021.25,233.3546561334092,9.334186245336369,787.8953438665908
156,lower10_down,long_iron_condor,1,2024-06-28 12:24:00+05:30,2024-07-01 12:24:00+05:30,2024-06-28,2024-07-01 00:00:00,2024-07-11 00:00:00,25,-2.1499999999999915,-53.74999999999979,237.5050987681307,9.500203950725227,-291.2550987681305
157,lower10_down,long_iron_condor,1,2024-07-10 10:40:00+05:30,2024-07-11 10:40:00+05:30,2024-07-10,2024-07-11 00:00:00,2024-07-18 00:00:00,25,-17.250000000000007,-431.25000000000017,211.621364995452,8.46485459981808,-642.8713649954522
159,lower10_down,long_iron_condor,1,2024-07-12 10:56:00+05:30,2024-07-15 10:56:00+05:30,2024-07-12,2024-07-15 00:00:00,2024-08-01 00:00:00,25,3.749999999999993,93.74999999999983,226.40207538468997,9.056083015387598,-132.65207538469014
160,lower10_down,long_iron_condor,1,2024-07-23 11:19:00+05:30,2024-07-24 11:19:00+05:30,2024-07-23,2024-07-24 00:00:00,2024-08-08 00:00:00,25,-12.299999999999997,-307.49999999999994,244.39004252043907,9.775601700817562,-551.890042520439
161,lower10_down,long_iron_condor,1,2024-07-24 10:32:00+05:30,2024-07-25 10:32:00+05:30,2024-07-24,2024-07-25 00:00:00,2024-08-08 00:00:00,25,8.250000000000007,206.25000000000017,213.42045732194265,8.536818292877706,-7.170457321942479
162,lower10_down,long_iron_condor,1,2024-07-29 12:13:00+05:30,2024-07-30 12:13:00+05:30,2024-07-29,2024-07-30 00:00:00,2024-08-08 00:00:00,25,-4.6000000000000085,-115.00000000000021,218.78194109259368,8.751277643703748,-333.7819410925939
163,lower10_down,long_iron_condor,1,2024-08-05 11:11:00+05:30,2024-08-06 11:11:00+05:30,2024-08-05,2024-08-06 00:00:00,2024-08-14 00:00:00,25,-2.5500000000000114,-63.750000000000284,301.8526132236259,12.074104528945035,-365.6026132236262
164,lower10_down,long_iron_condor,1,2024-08-06 10:47:00+05:30,2024-08-07 10:47:00+05:30,2024-08-06,2024-08-07 00:00:00,2024-08-14 00:00:00,25,-1.0500000000000114,-26.250000000000284,249.922847609987,9.99691390439948,-276.1728476099873
165,lower10_down,long_iron_condor,1,2024-08-07 11:06:00+05:30,2024-08-08 11:06:00+05:30,2024-08-07,2024-08-08 00:00:00,2024-08-14 00:00:00,25,-5.75,-143.75,221.70017610341438,8.868007044136576,-365.4501761034144
167,lower10_down,long_iron_condor,1,2024-08-12 11:33:00+05:30,2024-08-13 11:33:00+05:30,2024-08-12,2024-08-13 00:00:00,2024-08-22 00:00:00,25,-6.8500000000000085,-171.25000000000023,227.85110268827825,9.11404410753113,-399.1011026882785
168,lower10_down,long_iron_condor,1,2024-08-16 10:41:00+05:30,2024-08-19 10:41:00+05:30,2024-08-16,2024-08-19 00:00:00,2024-09-05 00:00:00,25,5.8500000000000085,146.25000000000023,250.97116563904737,10.038846625561895,-104.72116563904714
170,lower10_down,long_iron_condor,1,2024-09-20 10:31:00+05:30,2024-09-23 10:31:00+05:30,2024-09-20,2024-09-23 00:00:00,2024-10-10 00:00:00,25,8.65000000000002,216.2500000000005,243.9710810910486,9.758843243641945,-27.72108109104809
172,lower10_down,long_iron_condor,1,2024-10-07 10:54:00+05:30,2024-10-08 10:54:00+05:30,2024-10-07,2024-10-08 00:00:00,2024-10-17 00:00:00,25,-2.3000000000000114,-57.500000000000284,262.2105647854456,10.488422591417825,-319.7105647854459
