trade_date,entry_ts,trade_id,signal_family
2021-06-08,2021-06-08 08:01:00+00:00,207,phase7_180min
2021-06-09,2021-06-09 04:54:00+00:00,208,phase7_180min
2021-06-09,2021-06-09 05:15:00+00:00,209,phase7_180min
2021-06-09,2021-06-09 05:18:00+00:00,210,phase7_180min
2021-06-09,2021-06-09 05:38:00+00:00,211,phase7_180min
2021-06-09,2021-06-09 07:42:00+00:00,212,phase7_180min
2021-06-09,2021-06-09 08:47:00+00:00,213,phase7_180min
2021-06-10,2021-06-10 04:55:00+00:00,214,phase7_180min
2021-06-10,2021-06-10 04:59:00+00:00,215,phase7_180min
2021-06-10,2021-06-10 05:00:00+00:00,216,phase7_180min
2021-06-10,2021-06-10 05:13:00+00:00,217,phase7_180min
2021-06-10,2021-06-10 06:33:00+00:00,218,phase7_180min
2021-06-10,2021-06-10 06:34:00+00:00,219,phase7_180min
2021-06-10,2021-06-10 06:50:00+00:00,220,phase7_180min
2021-06-10,2021-06-10 07:52:00+00:00,221,phase7_180min
2021-06-10,2021-06-10 08:08:00+00:00,222,phase7_180min
2021-06-11,2021-06-11 04:53:00+00:00,223,phase7_180min
2021-06-11,2021-06-11 04:58:00+00:00,224,phase7_180min
2021-06-14,2021-06-14 06:24:00+00:00,225,phase7_180min
2021-06-14,2021-06-14 07:44:00+00:00,226,phase7_180min
2021-06-15,2021-06-15 04:52:00+00:00,227,phase7_180min
2021-06-15,2021-06-15 04:53:00+00:00,228,phase7_180min
2021-06-15,2021-06-15 05:06:00+00:00,229,phase7_180min
2021-06-15,2021-06-15 05:19:00+00:00,230,phase7_180min
2021-06-15,2021-06-15 08:27:00+00:00,231,phase7_180min
2021-06-16,2021-06-16 04:53:00+00:00,232,phase7_180min
2021-06-16,2021-06-16 04:54:00+00:00,233,phase7_180min
2021-06-16,2021-06-16 05:58:00+00:00,234,phase7_180min
2021-06-16,2021-06-16 07:15:00+00:00,235,phase7_180min
2021-06-16,2021-06-16 08:25:00+00:00,236,phase7_180min
2021-06-16,2021-06-16 08:40:00+00:00,237,phase7_180min
2021-06-17,2021-06-17 05:20:00+00:00,238,phase7_180min
2021-06-17,2021-06-17 05:38:00+00:00,239,phase7_180min
2021-06-17,2021-06-17 05:41:00+00:00,240,phase7_180min
2021-06-17,2021-06-17 06:42:00+00:00,241,phase7_180min
2021-06-17,2021-06-17 08:38:00+00:00,242,phase7_180min
2021-06-18,2021-06-18 06:37:00+00:00,243,phase7_180min
