date,net_pnl_rupees,equity,peak_equity,drawdown_rupees,drawdown_pct,daily_return
2023-03-31,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-03,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-04,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-05,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-06,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-07,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-10,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-11,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-12,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-13,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-14,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-17,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-18,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-19,0.0,1000231.7260006298,1012256.9732423419,-12025.247241712059,-0.011879638826487127,0.0
2023-04-20,1931.620855173382,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0019311733520959162
2023-04-21,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-04-24,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-04-25,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-04-26,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-04-27,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-04-28,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-01,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-02,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-03,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-04,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-05,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-08,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-09,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-10,0.0,1002163.3468558032,1012256.9732423419,-10093.62638653873,-0.009971407116325381,0.0
2023-05-11,1229.1126011491895,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.001226459344183306
2023-05-12,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-15,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-16,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-17,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-18,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-19,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-22,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-23,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-24,0.0,1003392.4594569524,1012256.9732423419,-8864.513785389485,-0.008757177297574636,0.0
2023-05-25,-3522.936198868706,999869.5232580836,1012256.9732423419,-12387.449984258274,-0.01223745581577007,-0.003511025188265293
2023-05-26,0.0,999869.5232580836,1012256.9732423419,-12387.449984258274,-0.01223745581577007,0.0
2023-05-29,0.0,999869.5232580836,1012256.9732423419,-12387.449984258274,-0.01223745581577007,0.0
2023-05-30,0.0,999869.5232580836,1012256.9732423419,-12387.449984258274,-0.01223745581577007,0.0
2023-05-31,0.0,999869.5232580836,1012256.9732423419,-12387.449984258274,-0.01223745581577007,0.0
2023-06-01,821.6348356974984,1000691.1580937812,1012256.9732423419,-11565.81514856068,-0.011425769793923402,0.00082174205392338
2023-06-02,0.0,1000691.1580937812,1012256.9732423419,-11565.81514856068,-0.011425769793923402,0.0
2023-06-05,0.0,1000691.1580937812,1012256.9732423419,-11565.81514856068,-0.011425769793923402,0.0
2023-06-06,0.0,1000691.1580937812,1012256.9732423419,-11565.81514856068,-0.011425769793923402,0.0
2023-06-07,0.0,1000691.1580937812,1012256.9732423419,-11565.81514856068,-0.011425769793923402,0.0
2023-06-08,1082.0245794378325,1001773.182673219,1012256.9732423419,-10483.79056912288,-0.010356846972900957,0.0010812772459176667
2023-06-09,0.0,1001773.182673219,1012256.9732423419,-10483.79056912288,-0.010356846972900957,0.0
2023-06-12,0.0,1001773.182673219,1012256.9732423419,-10483.79056912288,-0.010356846972900957,0.0
2023-06-13,0.0,1001773.182673219,1012256.9732423419,-10483.79056912288,-0.010356846972900957,0.0
2023-06-14,0.0,1001773.182673219,1012256.9732423419,-10483.79056912288,-0.010356846972900957,0.0
2023-06-15,1280.942277122218,1003054.1249503412,1012256.9732423419,-9202.848292000708,-0.009091415060864638,0.0012786749528510555
2023-06-16,0.0,1003054.1249503412,1012256.9732423419,-9202.848292000708,-0.009091415060864638,0.0
2023-06-19,0.0,1003054.1249503412,1012256.9732423419,-9202.848292000708,-0.009091415060864638,0.0
2023-06-20,0.0,1003054.1249503412,1012256.9732423419,-9202.848292000708,-0.009091415060864638,0.0
2023-06-21,0.0,1003054.1249503412,1012256.9732423419,-9202.848292000708,-0.009091415060864638,0.0
2023-06-22,1279.9479351901743,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0012760507168578794
2023-06-23,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-06-26,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-06-27,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-06-28,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-06-29,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-06-30,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-03,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-04,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-05,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-06,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-07,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-10,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-11,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-12,0.0,1004334.0728855314,1012256.9732423419,-7922.90035681054,-0.007826965450712375,0.0
2023-07-13,287.3049020133342,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0002860650751277394
2023-07-14,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-17,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-18,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-19,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-20,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-21,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-24,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-25,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-26,0.0,1004621.3777875447,1012256.9732423419,-7635.595454797149,-0.007543139397044318,0.0
2023-07-27,294.7334593161108,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0002933776503593055
2023-07-28,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-07-31,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-01,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-02,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-03,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-04,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-07,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-08,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-09,0.0,1004916.1112468608,1012256.9732423419,-7340.861995481071,-0.007251974735197564,0.0
2023-08-10,601.982567264989,1005518.0938141259,1012256.9732423419,-6738.879428216023,-0.006657281309340735,0.0005990376316269419
2023-08-11,0.0,1005518.0938141259,1012256.9732423419,-6738.879428216023,-0.006657281309340735,0.0
2023-08-14,0.0,1005518.0938141259,1012256.9732423419,-6738.879428216023,-0.006657281309340735,0.0
2023-08-15,0.0,1005518.0938141259,1012256.9732423419,-6738.879428216023,-0.006657281309340735,0.0
2023-08-16,0.0,1005518.0938141259,1012256.9732423419,-6738.879428216023,-0.006657281309340735,0.0
2023-08-17,-1370.961033901212,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,-0.0013634374580978603
2023-08-18,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-21,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-22,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-23,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-24,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-25,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-28,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-29,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-30,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-08-31,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-01,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-04,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-05,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-06,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-07,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-08,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-11,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-12,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-13,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-14,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
2023-09-15,0.0,1004147.1327802246,1012256.9732423419,-8109.8404621173395,-0.008011641980732231,0.0
