dimension,regime,trades,gross_pnl,total_cost,net_pnl,mean_net,median_net,win_rate,turnover,average_lots,worst_trade
gate_cushion_regime,wide_cushion,46,56092.25,17857.557587479347,38234.69241252066,831.1889654895795,1256.100781124813,0.6521739130434783,2253490.9853894506,4.434782608695652,-4385.210262899793
vrp_tail_regime,q85_q90,131,98194.74999999997,93182.62509705502,5012.124902944972,38.26049544232803,200.55122390180333,0.5343511450381679,16723718.273629762,5.251908396946565,-6951.712230041248
vrp_tail_regime,q90_q95,1,3082.5000000000014,398.546825327736,2683.9531746722655,2683.9531746722655,2683.9531746722655,1.0,58887.7662017206,3.0,2683.9531746722655
entry_time_regime,before_1100,20,22100.000000000007,16926.696878830237,5173.30312116977,258.6651560584885,95.30739111763896,0.55,3475937.0360152815,6.55,-3641.1994629337833
entry_time_regime,1100_1300,71,33377.249999999985,54338.590891503765,-20961.340891503773,-295.23015340146156,51.70656085335628,0.5070422535211268,9676676.059860261,5.183098591549296,-6951.712230041248
entry_time_regime,after_1300,41,45800.0,22315.884152048762,23484.11584795124,572.7833133646644,601.982567264989,0.5853658536585366,3629992.9439559435,4.682926829268292,-3522.936198868706
spot_trend_regime,down_10bp_plus,30,4973.749999999992,20264.200111596267,-15290.450111596274,-509.68167038654246,-1093.271201211437,0.43333333333333335,3413886.34305682,5.566666666666666,-6951.712230041248
spot_trend_regime,inside_10bp,84,65398.5,63890.439859372724,1508.060140627284,17.953096912229572,166.16220371061107,0.5476190476190477,11937605.678843748,5.190476190476191,-3641.1994629337833
spot_trend_regime,up_10bp_plus,18,30904.999999999993,9426.531951413766,21478.46804858623,1193.2482249214572,1373.979822265586,0.6666666666666666,1431114.0179309158,4.888888888888889,-3749.978244597129
iv_rv_relation,iv_ge_rv,131,102852.24999999999,93164.86960724191,9687.38039275808,73.94946864700825,241.74660945142767,0.5419847328244275,16707758.990755824,5.244274809160306,-6951.712230041248
iv_rv_relation,iv_lt_rv,1,-1575.0000000000002,416.3023151408406,-1991.3023151408408,-1991.3023151408408,-1991.3023151408408,0.0,74847.04907565974,4.0,-1991.3023151408408
span_time_slot,BOD,20,22100.000000000007,16926.696878830237,5173.30312116977,258.6651560584885,95.30739111763896,0.55,3475937.0360152815,6.55,-3641.1994629337833
span_time_slot,ID1,47,5623.999999999994,42463.02742538978,-36839.02742538978,-783.8090941572294,-897.0934312536697,0.40425531914893614,7784396.412117775,5.8936170212765955,-6951.712230041248
span_time_slot,ID2,59,56006.99999999997,30812.797626268017,25194.20237373197,427.0203792157961,821.6348356974984,0.6440677966101694,4900320.352531311,4.271186440677966,-3522.936198868706
span_time_slot,ID3,6,17546.250000000007,3378.649991894728,14167.600008105279,2361.2666680175466,1548.7416888550963,0.5,621952.2391671177,5.166666666666667,-996.3457994266888
