trade_id,trade_date,signal_family,structure,horizon_minutes,entry_ts,exit_ts,lot_size,entry_dte,entry_value_points,entry_credit_points,entry_debit_points,max_loss_points,max_profit_points,net_delta_per_unit,net_gamma_per_unit,net_theta_points_per_day,net_vega_points_per_vol_point,gross_pnl_points,gross_pnl_rupees,total_cost_rupees,cost_hurdle_points,net_pnl_rupees,margin_rupees,net_return_on_margin,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,reversal_type,mapping
214,2023-07-18 00:00:00,bottom_to_zero,short_iron_condor,60,2023-07-18 13:37:00+05:30,2023-07-18 14:37:00+05:30,50,16.07847222222222,-54.599999999999994,54.599999999999994,0.0,45.400000000000006,54.599999999999994,-0.19059140825888055,-0.0020883909274801524,1.595110091706919,-6.386091676483042,0.4499999999999993,22.499999999999964,224.35773110796703,4.48715462215934,-201.85773110796706,46989.78374694204,-0.004295779103710035,23.94107098290347,200.41666012506357,160.0,4.85337401833603,bottom_to_zero,requested
215,2023-07-27 00:00:00,top_to_zero,long_iron_condor,60,2023-07-27 11:54:00+05:30,2023-07-27 12:54:00+05:30,50,14.15,32.9,0.0,32.9,32.9,67.1,0.36865785053636335,0.010624044487204075,-2.8661408086941154,12.371594132014561,-0.10000000000000053,-5.000000000000027,214.54631921415324,4.290926384283065,-219.54631921415327,41609.35968136335,-0.005276368607817993,21.846350780789493,192.69996843336378,160.0,1.6244230457651387,top_to_zero,requested
217,2023-08-17 00:00:00,top_to_zero,long_iron_condor,60,2023-08-17 11:11:00+05:30,2023-08-17 12:11:00+05:30,50,7.179861111111111,25.550000000000004,0.0,25.550000000000004,25.550000000000004,74.44999999999999,0.18492627899073644,0.008314435157038502,-3.1785448868942683,12.098894269859034,5.5500000000000025,277.5000000000001,213.7063848257339,4.274127696514678,63.79361517426622,40343.36639357565,0.0015812665346743309,21.892830090329877,191.813554735404,160.0,1.3072213321024584,top_to_zero,requested
218,2023-08-24 00:00:00,top_to_zero,long_iron_condor,60,2023-08-24 10:54:00+05:30,2023-08-24 11:54:00+05:30,50,14.191666666666666,18.5,0.0,18.5,18.5,81.5,,,,,2.549999999999997,127.49999999999986,212.76653908685608,4.255330781737122,-85.26653908685623,40186.16472774223,-0.0021217884230687253,21.880164266122442,190.88637482073364,160.0,0.8916017263148287,top_to_zero,requested
220,2023-09-12 00:00:00,bottom_to_zero,short_iron_condor,60,2023-09-12 11:15:00+05:30,2023-09-12 12:15:00+05:30,50,9.177083333333334,-56.85,56.85,0.0,43.15,56.85,-0.09281251078092834,-0.0010974511408310638,1.77531580059579,-4.839373063131296,-0.3000000000000007,-15.000000000000036,225.67108724427544,4.513421744885509,-240.67108724427547,47520.007070775784,-0.0050646265032288935,24.60543516748855,201.0656520767869,160.0,5.117351782628333,bottom_to_zero,requested
221,2023-10-10 00:00:00,top_to_zero,long_iron_condor,60,2023-10-10 10:45:00+05:30,2023-10-10 11:45:00+05:30,50,9.197916666666666,59.69999999999999,0.0,59.69999999999999,59.69999999999999,40.30000000000001,0.15415974145654787,0.0009574341044722367,-2.1047547328955605,4.558414529225856,-1.8499999999999979,-92.49999999999989,222.84589752682146,4.456917950536429,-315.3458975268213,44424.850181737886,-0.007098412177796231,23.394027786584637,199.45186974023682,160.0,4.428727639121886,top_to_zero,requested
222,2023-10-25 00:00:00,bottom_to_zero,short_iron_condor,60,2023-10-25 14:19:00+05:30,2023-10-25 15:19:00+05:30,50,15.049305555555556,-50.84999999999999,50.84999999999999,0.0,49.15000000000001,50.84999999999999,-0.4038447293623767,-0.0036592771439707323,2.3580978649800723,-2.7777080343703062,5.299999999999997,264.9999999999999,220.29249112050638,4.4058498224101275,44.7075088794935,45291.668069395964,0.0009871022813951694,22.534554811378744,197.75793630912764,160.0,3.788415400567491,bottom_to_zero,requested
223,2023-11-29 00:00:00,top_to_zero,long_iron_condor,60,2023-11-29 10:44:00+05:30,2023-11-29 11:44:00+05:30,50,15.198611111111111,45.900000000000006,0.0,45.900000000000006,45.900000000000006,54.099999999999994,0.4133327802306037,0.0034793902329914067,-2.6417124766496762,5.574050676707642,4.249999999999996,212.49999999999977,218.5797255458267,4.371594510916534,-6.079725545826932,43288.5121639914,-0.00014044662756702964,22.979587891128805,195.6001376546979,160.0,2.8768848972660597,top_to_zero,requested
224,2023-12-05 00:00:00,bottom_to_zero,short_iron_condor,60,2023-12-05 12:45:00+05:30,2023-12-05 13:45:00+05:30,50,9.114583333333334,-61.59999999999999,61.59999999999999,0.0,38.40000000000001,61.59999999999999,-0.040170713625802434,-0.0007105150169068074,1.4590387729555583,-4.0324764343830815,0.9999999999999893,49.99999999999947,237.378869194951,4.74757738389902,-187.37886919495153,50332.46286413629,-0.003722823373470679,32.85655752372739,204.52231167122363,160.0,6.572285146730856,bottom_to_zero,requested
227,2023-12-21 00:00:00,bottom_to_zero,short_iron_condor,60,2023-12-21 11:44:00+05:30,2023-12-21 12:44:00+05:30,50,14.156944444444445,-22.65,22.65,0.0,77.35,22.65,,,,,-29.499999999999996,-1474.9999999999998,219.38674694426427,4.387734938885285,-1694.3867469442641,48313.35334386829,-0.035070775048143245,25.37606571955363,194.01068122471065,160.0,1.8947447368034438,bottom_to_zero,requested
229,2024-01-02 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-02 12:16:00+05:30,2024-01-02 13:16:00+05:30,50,9.134722222222223,-65.75,65.75,0.0,34.25,65.75,-0.04246164397393504,-0.0005438248884238113,1.591432114892613,-3.911093319418656,1.6500000000000128,82.50000000000064,243.68466669999896,4.873693333999979,-161.18466669999833,52498.60003308909,-0.0030702659994439096,38.17579729884177,205.50886940115717,160.0,6.9896017433843864,bottom_to_zero,requested
230,2024-01-08 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-08 12:59:00+05:30,2024-01-08 13:59:00+05:30,50,10.104861111111111,-67.95,67.95,0.0,32.05,67.95,-0.07743662615691793,-0.0004495929040504395,1.3231587557355708,-2.9774681611150715,0.2000000000000064,10.00000000000032,244.3604622917847,4.887209245835694,-234.3604622917844,52804.18588018629,-0.0044382932599993635,36.9117744753929,207.4486878163918,160.0,7.786685488863215,bottom_to_zero,requested
231,2024-01-18 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-18 11:58:00+05:30,2024-01-18 12:58:00+05:30,50,14.147222222222222,-23.049999999999997,23.049999999999997,0.0,76.95,23.049999999999997,,,,,2.5999999999999996,129.99999999999997,213.61227185184396,4.272245437036879,-83.61227185184399,48624.06979038182,-0.0017195654788317014,21.85942116544244,191.75285068640153,160.0,1.254105007881834,bottom_to_zero,requested
232,2024-01-19 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-19 12:41:00+05:30,2024-01-19 13:41:00+05:30,50,20.117361111111112,-77.89999999999998,77.89999999999998,0.0,22.100000000000023,77.89999999999998,-0.07896108286942738,-0.0001457476505297439,0.5764610885301789,-0.9602757055172226,0.4000000000000128,20.00000000000064,290.0188643942399,5.800377287884799,-270.0188643942393,57491.96573921602,-0.004696636493854582,68.72075076163492,221.29811363260507,160.0,13.569115118260966,bottom_to_zero,requested
233,2024-01-23 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-23 13:44:00+05:30,2024-01-23 14:44:00+05:30,50,16.073611111111113,-72.1,72.1,0.0,27.900000000000006,72.1,-0.09825256274414618,-0.0003991610065455151,0.9199859079825927,-2.255407053955876,-2.6999999999999957,-134.99999999999977,275.94155768214887,5.518831153642977,-410.94155768214864,53987.58111311977,-0.007611779398323216,61.30260516125371,214.6389525208952,160.0,10.759025509454212,bottom_to_zero,requested
234,2024-01-24 00:00:00,bottom_to_zero,short_iron_condor,60,2024-01-24 11:18:00+05:30,2024-01-24 12:18:00+05:30,50,15.175,-66.39999999999999,66.39999999999999,0.0,33.60000000000001,66.39999999999999,-0.10349842730651071,-0.0005271564781820959,1.1486418447762212,-3.8171172211206965,-1.250000000000007,-62.500000000000355,256.9885825418649,5.139771650837298,-319.48858254186524,52158.99986451096,-0.006125281991061444,48.17568098769411,208.8129015541708,160.0,8.340913713844056,bottom_to_zero,requested
235,2024-01-25 00:00:00,top_to_zero,long_iron_condor,60,2024-01-25 11:28:00+05:30,2024-01-25 12:28:00+05:30,50,14.168055555555556,46.550000000000004,0.0,46.550000000000004,46.550000000000004,53.449999999999996,0.38540300362998214,0.00606528182476655,-2.867119857894162,6.996097863454873,-17.150000000000006,-857.5000000000002,217.27223226047963,4.345444645209593,-1074.7722322604798,46234.91554573718,-0.02324590019413527,23.077109740542184,194.19512251993746,160.0,2.0884532634599817,top_to_zero,requested
236,2024-01-31 00:00:00,top_to_zero,long_iron_condor,60,2024-01-31 12:30:00+05:30,2024-01-31 13:30:00+05:30,50,8.125,73.15,0.0,73.15,73.15,26.849999999999994,0.039545592824092535,0.0002526458290887829,-1.3119070840706977,2.0951314518191673,0.6000000000000156,30.00000000000078,278.76816428736845,5.575363285747369,-248.76816428736765,53559.37689801657,-0.0046447172968619825,64.90033912352047,213.867825163848,160.0,10.467210703290348,top_to_zero,requested
237,2024-02-01 00:00:00,top_to_zero,long_iron_condor,60,2024-02-01 11:55:00+05:30,2024-02-01 12:55:00+05:30,50,7.149305555555555,44.84999999999999,0.0,44.84999999999999,44.84999999999999,55.15000000000001,0.050936524062727806,0.0010632549405282295,-0.5653758809125313,3.493290259973305,-17.449999999999992,-872.4999999999997,227.6125009457714,4.552250018915427,-1100.112500945771,49575.42391070466,-0.022190682684373925,29.24420065734052,198.36830028843087,160.0,3.8280968145050385,top_to_zero,requested
238,2024-02-02 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-02 14:19:00+05:30,2024-02-02 15:19:00+05:30,50,13.049305555555556,-79.7,79.7,0.0,20.299999999999997,79.7,-0.021118657177082834,-0.00011146715177024651,0.7570997822629746,-1.8231039778236156,1.84999999999998,92.499999999999,301.3043822142168,6.026087644284336,-208.80438221421778,58476.72213141492,-0.0035707265148168027,78.52731134859873,222.77707086561804,160.0,14.198848360808757,bottom_to_zero,requested
239,2024-02-08 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-08 12:09:00+05:30,2024-02-08 13:09:00+05:30,50,7.139583333333333,-26.500000000000004,26.500000000000004,0.0,73.5,26.500000000000004,-0.08847559245507214,-0.007443756445853938,2.647018896562854,-12.197856089843373,10.350000000000001,517.5000000000001,213.33395380720128,4.266679076144026,304.16604619279883,49086.777689323164,0.006196496500909201,21.901506939567522,191.43244686763376,160.0,1.1931539410800822,bottom_to_zero,requested
240,2024-02-09 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-09 12:31:00+05:30,2024-02-09 13:31:00+05:30,50,13.124305555555555,-80.69999999999999,80.69999999999999,0.0,19.30000000000001,80.69999999999999,-0.036687926393699444,-9.850351009652492e-05,0.7368742240645902,-1.4780837636967483,0.4000000000000057,20.000000000000284,318.1003282200868,6.362006564401736,-298.1003282200865,58856.38218260375,-0.005064876860681328,92.74058094366104,225.35974727642574,160.0,15.261616685759122,bottom_to_zero,requested
241,2024-02-12 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-12 11:49:00+05:30,2024-02-12 12:49:00+05:30,50,10.153472222222222,-76.80000000000001,76.80000000000001,0.0,23.19999999999999,76.80000000000001,-0.03852627948363618,-0.00019735879612912922,1.1562353834639536,-2.111646918265002,-0.2499999999999858,-12.49999999999929,294.1317691669982,5.882635383339964,-306.6317691669975,56175.76795892577,-0.005458434843137321,76.28397847553816,217.84779069146006,160.0,12.119969546485468,bottom_to_zero,requested
242,2024-02-13 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-13 10:46:00+05:30,2024-02-13 11:46:00+05:30,50,9.197222222222223,-74.44999999999999,74.44999999999999,0.0,25.55000000000001,74.44999999999999,-0.05991374914633324,-0.0002560743594537115,1.3342331321766947,-2.1914687843460925,0.7500000000000071,37.500000000000355,276.7159716219131,5.534319432438263,-239.2159716219128,54671.92580759852,-0.004375480982026531,63.80480403442905,212.9111675874841,160.0,10.069119989775013,bottom_to_zero,requested
243,2024-02-15 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-15 10:58:00+05:30,2024-02-15 11:58:00+05:30,50,7.188888888888889,-30.2,30.2,0.0,69.8,30.2,-0.15521732988071524,-0.004206498180150566,2.245405427833204,-8.838890389810981,1.799999999999999,89.99999999999994,215.13908038143668,4.3027816076287335,-125.13908038143674,49892.06486270966,-0.002508196057344747,21.85364183095238,193.2854385504843,160.0,1.8869203311972633,bottom_to_zero,requested
244,2024-02-22 00:00:00,top_to_zero,long_iron_condor,60,2024-02-22 12:20:00+05:30,2024-02-22 13:20:00+05:30,50,14.131944444444445,28.249999999999996,0.0,28.249999999999996,28.249999999999996,71.75,,,,,-8.049999999999999,-402.49999999999994,213.45447890432848,4.26908957808657,-615.9544789043284,45862.25459537504,-0.013430532021128419,21.824502896520556,191.62997600780793,160.0,1.102556268613883,top_to_zero,requested
245,2024-02-28 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-28 12:04:00+05:30,2024-02-28 13:04:00+05:30,50,15.143055555555556,-67.54999999999998,67.54999999999998,0.0,32.45000000000002,67.54999999999998,-0.24198628421782586,-0.0009199128430717366,1.4551243957387048,0.4703751120186439,-1.5500000000000114,-77.50000000000057,256.9504968816067,5.139009937632133,-334.45049688160725,53738.784968846514,-0.006223633397656741,49.682376693917696,207.26812018768902,160.0,7.692370299813086,bottom_to_zero,requested
246,2024-02-29 00:00:00,bottom_to_zero,short_iron_condor,60,2024-02-29 11:27:00+05:30,2024-02-29 12:27:00+05:30,50,14.16875,-46.75,46.75,0.0,53.25,46.75,,,,,9.65,482.5,219.45482471875397,4.389096494375079,263.04517528124603,50752.071327420956,0.005182944624747261,23.823844468946128,195.63098024980783,160.0,2.9404263884114066,bottom_to_zero,requested
247,2024-03-01 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-01 12:41:00+05:30,2024-03-01 13:41:00+05:30,50,13.11736111111111,-82.75,82.75,0.0,17.25,82.75,-0.035699518496579374,-6.650860382284335e-05,0.7377055384301965,-1.3274350561554868,0.3499999999999943,17.499999999999716,321.78835179774865,6.435767035954973,-304.28835179774893,60708.81216757413,-0.005012260015198845,94.91726106976895,226.87109072797972,160.0,15.89220245428032,bottom_to_zero,requested
248,2024-03-06 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-06 12:10:00+05:30,2024-03-06 13:10:00+05:30,50,8.13888888888889,-63.650000000000006,63.650000000000006,0.0,36.349999999999994,63.650000000000006,-0.07324731449804167,-0.0008067892064291672,2.21233018095024,-4.8116867035037725,1.600000000000005,80.00000000000026,234.21995253484246,4.684399050696849,-154.2199525348422,52806.495444733584,-0.0029204731583872346,31.790108219321812,202.42984431552065,160.0,5.703862109622554,bottom_to_zero,requested
249,2024-03-12 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-12 12:04:00+05:30,2024-03-12 13:04:00+05:30,50,9.143055555555556,-73.30000000000001,73.30000000000001,0.0,26.69999999999999,73.30000000000001,-0.03864527936049644,-0.00028067223324940746,1.4703688342591676,-2.8552455940152885,1.050000000000015,52.500000000000746,254.8321411152934,5.096642822305868,-202.33214111529267,55249.73454158343,-0.0036621377965718265,44.854301546089715,209.9778395692037,160.0,8.849913332819597,bottom_to_zero,requested
250,2024-03-13 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-13 13:29:00+05:30,2024-03-13 14:29:00+05:30,50,8.084027777777777,-64.30000000000001,64.30000000000001,0.0,35.69999999999999,64.30000000000001,-0.06651688959455637,-0.0007772552154749709,1.7807782493652198,-3.7481001890357355,-9.899999999999977,-494.99999999999886,250.91286241152775,5.018257248230555,-745.9128624115266,53453.25986026462,-0.013954487796655663,43.60103665738596,207.3118257541418,160.0,7.633202568172827,bottom_to_zero,requested
251,2024-03-18 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-18 13:15:00+05:30,2024-03-18 14:15:00+05:30,50,17.09375,-76.85,76.85,0.0,23.150000000000006,76.85,-0.08772589718496882,-0.00017240595474730762,0.7724798383820506,-1.3320948394397618,1.4499999999999886,72.49999999999943,271.2552575029749,5.4251051500594984,-198.7552575029755,56662.663286237585,-0.0035076935317872684,56.23733248040769,215.01792502256723,160.0,10.957371523151082,bottom_to_zero,requested
252,2024-03-20 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-20 12:45:00+05:30,2024-03-20 13:45:00+05:30,50,15.114583333333334,-63.25000000000001,63.25000000000001,0.0,36.74999999999999,63.25000000000001,-0.26336258397171197,-0.0008424214371155951,1.612971663823759,-0.09058123857282929,0.5000000000000071,25.000000000000355,232.5067676418092,4.650135352836184,-207.50676764180884,52268.62816029272,-0.003970006004470708,30.073853227737008,202.43291441407217,160.0,5.695116889519746,bottom_to_zero,requested
253,2024-03-22 00:00:00,bottom_to_zero,short_iron_condor,60,2024-03-22 11:50:00+05:30,2024-03-22 12:50:00+05:30,50,19.15277777777778,-77.05,77.05,0.0,22.950000000000003,77.05,-0.06581404815791869,-0.0001304686896776324,0.7003088500543238,-1.9734546834684608,0.09999999999999432,4.999999999999716,266.3630865672889,5.327261731345779,-261.3630865672892,57219.324340682186,-0.0045677415729542875,49.89168233035401,216.4714042369349,160.0,11.55315153847804,bottom_to_zero,requested
254,2024-03-28 00:00:00,top_to_zero,long_iron_condor,60,2024-03-28 10:49:00+05:30,2024-03-28 11:49:00+05:30,50,13.19513888888889,45.2,0.0,45.2,45.2,54.8,,,,,-7.400000000000001,-370.00000000000006,215.72024004093325,4.314404800818665,-585.7202400409333,47795.89498793348,-0.012254613920061623,21.861085314824443,193.85915472610878,160.0,2.040055995083663,top_to_zero,requested
255,2024-04-04 00:00:00,bottom_to_zero,short_iron_condor,60,2024-04-04 11:58:00+05:30,2024-04-04 12:58:00+05:30,50,6.147222222222222,-43.0,43.0,0.0,57.0,43.0,-0.04090906121223886,-0.0031029581184999575,3.213021422754439,-8.88749572895898,-1.0500000000000043,-52.50000000000021,216.38979410487335,4.327795882097467,-268.88979410487354,50687.377341984175,-0.00530486697488199,21.907061136221294,194.48273296865204,160.0,2.3603425813959813,bottom_to_zero,requested
256,2024-04-12 00:00:00,bottom_to_zero,short_iron_condor,60,2024-04-12 13:38:00+05:30,2024-04-12 14:38:00+05:30,25,20.07777777777778,-74.19999999999999,74.19999999999999,0.0,25.80000000000001,74.19999999999999,-0.16918943118381508,-0.00020379196834339976,0.903708389729915,1.446512469600803,0.3499999999999943,8.749999999999858,219.45172682022246,8.778069072808899,-210.7017268202226,28351.643429149444,-0.007431728864210807,18.733571035899914,200.71815578432253,160.0,4.977736523412551,bottom_to_zero,requested
259,2024-04-25 00:00:00,top_to_zero,long_iron_condor,60,2024-04-25 10:35:00+05:30,2024-04-25 11:35:00+05:30,25,14.20486111111111,42.65,0.0,42.65,42.65,57.35,0.4329523775125337,0.004074337407024923,-2.8406144716150816,4.247313517370532,1.100000000000005,27.500000000000124,203.15121934889407,8.126048773955763,-175.65121934889396,24106.77753549534,-0.007286383221078027,10.91700976541153,192.23420958348254,160.0,1.4379941638006706,top_to_zero,requested
260,2024-05-02 00:00:00,top_to_zero,long_iron_condor,60,2024-05-02 11:21:00+05:30,2024-05-02 12:21:00+05:30,25,7.172916666666667,34.5,0.0,34.5,34.5,65.5,0.15798892783879565,0.0034206272550301705,-2.7407697183294983,9.709826434148775,7.9000000000000075,197.5000000000002,202.99859981216628,8.11994399248665,-5.498599812166077,23966.88266259097,-0.0002294249064250913,11.342513314799778,191.6560864973665,160.0,1.2283579494999057,top_to_zero,requested
261,2024-05-03 00:00:00,bottom_to_zero,short_iron_condor,60,2024-05-03 14:03:00+05:30,2024-05-03 15:03:00+05:30,25,13.060416666666667,-79.9,79.9,0.0,20.099999999999994,79.9,-0.021867448729585792,-0.00011336093036248482,0.7559310505120176,-1.8293658380005677,1.0999999999999943,27.499999999999858,244.56710355621522,9.782684142248609,-217.06710355621536,29798.95699181317,-0.007284385947328673,39.07121955063971,205.4958840055755,160.0,6.973656739293017,bottom_to_zero,requested
262,2024-05-06 00:00:00,bottom_to_zero,short_iron_condor,60,2024-05-06 10:47:00+05:30,2024-05-06 11:47:00+05:30,25,10.196527777777778,-75.94999999999999,75.94999999999999,0.0,24.05000000000001,75.94999999999999,-0.03905795621190944,-0.0001882876522711018,1.0926571053404617,-2.1269153743994202,0.3999999999999915,9.999999999999787,240.02647097435417,9.601058838974167,-230.02647097435437,28822.501415314662,-0.00798079485398624,37.44088321755598,202.5855877567982,160.0,5.754697042957232,bottom_to_zero,requested
263,2024-05-07 00:00:00,bottom_to_zero,short_iron_condor,60,2024-05-07 12:40:00+05:30,2024-05-07 13:40:00+05:30,25,9.118055555555555,-72.9,72.9,0.0,27.099999999999994,72.9,-0.04460210513971197,-0.0002999016474149567,1.3305642603640626,-2.5088662008020712,1.3500000000000014,33.750000000000036,233.46510973101982,9.338604389240793,-199.7151097310198,27772.375807735774,-0.007191142418409546,33.230096857091226,200.2350128739286,160.0,4.777847650987948,bottom_to_zero,requested
264,2024-05-08 00:00:00,bottom_to_zero,short_iron_condor,60,2024-05-08 11:39:00+05:30,2024-05-08 12:39:00+05:30,25,8.160416666666666,-62.750000000000014,62.750000000000014,0.0,37.249999999999986,62.750000000000014,-0.044882449713974204,-0.0007517085597613675,1.861417963988751,-4.436290011909687,-1.04999999999999,-26.24999999999975,218.12136944920815,8.724854777968325,-244.3713694492079,26543.371949078115,-0.00920649305288039,21.72818051838372,196.3931889308244,160.0,3.163538630689998,bottom_to_zero,requested
265,2024-05-09 00:00:00,top_to_zero,long_iron_condor,60,2024-05-09 12:21:00+05:30,2024-05-09 13:21:00+05:30,25,7.13125,28.2,0.0,28.2,28.2,71.8,0.06445876052935434,0.005284601894942812,-2.086083897532964,10.260795438172973,47.499999999999986,1187.4999999999995,212.36818413051708,8.494727365220683,975.1318158694825,23274.21390088203,0.041897518860240755,18.76205535409414,193.60612877642296,160.0,2.2280408781814267,top_to_zero,requested
