trade_id,trade_date,entry_ts,split,structure,policy,margin_fraction,max_loss_fraction,capacity_cap_lots,margin_cap_lots,risk_cap_lots,lots,equity_before,executed,skip_reason,gross_pnl_rupees,net_pnl_rupees,turnover_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,charges_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,total_cost_rupees,margin_rupees,max_loss_rupees,entry_dte,span_time_slot,equity_after,margin_utilization,max_loss_utilization
1019,2023-06-22,2023-06-22 06:54:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,17,7,7,996807.7340270841,True,,1680.0000000000002,1305.9491277103543,16379.599277480736,153.13231146069754,15.572777436681108,3.1409067175253753,0.70555155402128,19.419235708227763,172.5515471689253,201.49932512072053,160.0,5.589702415722442,0.22308226236974496,5.737773626901502,0.016379599277480738,0.08189799638740371,29.850489220061945,374.05087228964584,301788.02671126626,28175.0,14.129166666666666,ID1,998113.6831547944,0.30275449959848166,0.028265230132368195
1020,2023-07-13,2023-07-13 06:45:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,16,7,7,998113.6831547944,True,,735.0,356.9468452057481,21734.776843536016,152.99319212737467,15.558629707868612,3.6930070082582134,0.5849017118973608,19.836538428024184,172.82973055539884,205.22342423885303,160.0,6.967795972806443,0.3175890986113712,7.613692328290666,0.021734776843536013,0.10867388421768008,30.193938178083336,378.0531547942519,309126.8239071281,26740.000000000004,7.135416666666667,ID1,998470.6300000001,0.3097110370534682,0.026790535438289326
1022,2023-07-27,2023-07-27 05:56:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,16,9,9,998470.6300000001,True,,629.999999999999,176.22263969092262,49814.72839500292,196.62699930078438,26.661288040784324,3.389563265891215,0.9216664905650276,30.972517797240567,227.59951709802493,226.17784321105145,160.0,15.69285277434528,0.7411849186815143,17.45009935676952,0.04981472839500292,0.24907364197501464,31.994817790885115,453.77736030907636,406956.2817383662,29610.000000000004,14.169444444444444,ID1,998646.8526396911,0.4075796217845347,0.029655354008760376
1024,2023-08-10,2023-08-10 08:25:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,16,7,7,998646.8526396911,True,,2345.0000000000005,1975.5897046515586,10989.521743158251,153.42731533205168,15.60277783037814,1.9409685523575315,0.7732531118681507,18.31699949460382,171.74431482665548,197.66598052178642,160.0,4.113367946353625,0.13224399086977362,3.8496294666283357,0.010989521743158252,0.054947608715791275,29.504801987475712,369.4102953484419,308499.6792433869,29347.5,7.065972222222222,ID2,1000622.4423443426,0.3089176904007053,0.029387265300468025
1025,2023-08-17,2023-08-17 05:36:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,17,8,8,1000622.4423443426,True,,-1240.0000000000005,-1652.337051008007,31880.09345196,175.1234994265578,20.77736433874415,3.381241405180404,0.839176102804754,24.997781846729307,200.12128127328708,212.21576973471946,160.0,9.5124913033396,0.4998032209984994,11.16759673622159,0.03188009345196,0.1594004672598,30.844597913448,412.33705100800654,350805.4169370075,29360.000000000004,7.183333333333334,ID1,998970.1052933346,0.3505871966204466,0.02934173646077028
1029,2023-12-21,2023-12-21 07:14:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,15,8,8,998970.1052933346,True,,3620.000000000001,3207.395579672622,33739.793774455844,174.67729053979352,20.72442430133144,1.436123044197514,0.7132649782547333,22.87381232378369,197.55110286357723,215.05331746380193,160.0,11.613200834872583,0.45476017315979134,11.81904975919188,0.033739793774455844,0.1686989688722792,30.96386793393095,412.60442032737916,387334.8811010092,28539.999999999996,14.115277777777775,ID2,1002177.5008730072,0.3877342065078848,0.028569423498033104
1030,2023-12-28,2023-12-28 07:00:00+00:00,discovery_2021_2023,short_iron_condor,growth,0.75,0.03,53,15,8,8,1002177.5008730072,True,,4139.999999999999,3730.309510993553,28259.84690526727,174.75499096314792,20.73364299562772,2.3448898518163244,0.7478928320611913,23.826425679505235,198.5814166426531,211.10907236379296,160.0,10.062895465195192,0.3647764248286489,9.899424370915124,0.02825984690526727,0.14129923452633636,30.61241702142241,409.69048900644606,396053.3356069245,29820.0,14.125,ID2,1005907.8103840008,0.39519280293353054,0.029755208008584794
1031,2024-01-11,2024-01-11 08:45:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,15,6,6,1005907.8103840008,True,,2445.0,2073.857477903931,5169.609438495708,139.47221762484332,11.819679459732486,25.95070878499271,0.5524563001626592,38.32284454488786,177.79506216973118,193.34745992633776,160.0,2.330768979536101,0.04321137213713836,1.8109141863050462,0.005169609438495708,0.025848047192478536,29.13154773172848,371.14252209606894,290158.6482345805,27105.0,7.052083333333333,ID3,1007981.6678619047,0.2884545136634477,0.026945809268200022
1032,2024-01-25,2024-01-25 05:19:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,15,12,12,1007981.6678619047,True,,4950.0,4305.994551442697,123669.4914522377,296.19618541409204,55.22301761957647,7.136914644429515,2.7875882118689117,65.1475204758749,361.3437058899669,282.66174266733566,160.0,40.080671170733666,1.786212527371915,43.321422855718865,0.12366949145223768,0.6183474572611884,36.73141916479781,644.0054485573025,591716.3153133632,28620.0,14.19513888888889,BOD,1012287.6624133474,0.5870308302019928,0.028393373523059935
1034,2024-01-30,2024-01-30 05:16:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,12,35,12,1012287.6624133474,True,,840.0000000000034,-1282.6711735133665,592202.4943973272,1165.0209298475631,217.20729200547788,89.92224035658964,18.98604396975698,326.11557633182446,1491.1365061793877,631.5346673339822,160.0,184.8597993409837,8.892804463552599,207.44853378738372,0.5922024943973272,2.9610124719866358,66.78031477567816,2122.67117351337,711831.0827455876,10409.999999999996,9.197222222222225,BOD,1011004.991239834,0.7031905150839679,0.010283638126322714
1035,2024-01-31,2024-01-31 05:49:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,13,23,13,1011004.991239834,True,,-227.50000000001017,-1876.3893007047623,459320.03991301416,886.9681008582423,180.4002916999815,40.70788961216983,8.87191714135335,229.98009845350467,1116.948199311747,531.941101393005,160.0,143.117372410532,6.9099673216848885,160.89980998152885,0.4593200399130141,2.296600199565071,58.25803143978125,1648.889300704752,721425.3382052974,16705.000000000004,8.174305555555556,ID1,1009128.6019391292,0.713572479321379,0.0165231627388051
1036,2024-02-15,2024-02-15 08:12:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,15,8,8,1009128.6019391292,True,,4280.000000000001,3873.0743637973087,25839.950456247327,174.84208625164706,20.74397633494118,1.2882771289324613,0.7102003833079583,22.7424538471816,197.58454009882865,209.34109610386346,160.0,9.350739348796406,0.3263630249451923,9.051734644823439,0.02583995045624732,0.12919975228123665,30.45721938256096,406.92563620269215,393870.11971832183,28620.0,7.075,ID2,1013001.6763029265,0.3903071610114566,0.02836110278214705
1038,2024-02-29,2024-02-29 07:01:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,15,10,10,1013001.6763029265,True,,-3974.9999999999977,-4527.271033972585,84305.5819527831,255.98576477277174,39.048675982287214,4.637478890998297,2.0164179746996633,45.702572847985174,301.68833762075695,250.58269635183072,160.0,25.009029254738238,1.3287340543560577,29.532245358059924,0.08430558195278309,0.4215279097639155,34.206854192959796,552.2710339725877,502242.9071493547,29650.0,14.124305555555557,ID2,1008474.4052689539,0.49579671870075437,0.029269448110107083
1039,2024-03-07,2024-03-07 08:28:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,15,6,6,1008474.4052689539,True,,2730.0,2391.6071629876233,5939.651454007386,131.27470655180733,11.124975131509094,1.469375282933533,0.5120911670949831,13.10644158153761,144.38114813334494,194.01168887903188,160.0,2.6641469705856387,0.05031048903211097,2.0806599043387877,0.005939651454007386,0.029698257270036933,29.180933606351307,338.39283701237684,301590.4781376717,26775.0,7.063888888888889,ID2,1010866.0124319415,0.2990561550813373,0.02655000450195786
1043,2024-04-10,2024-04-10 07:55:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,14,7,7,1010866.0124319415,True,,3324.999999999999,2955.544134200548,10709.378502899617,153.14075309866632,15.573635908338948,2.336227834747838,0.6572362428032577,18.567099985890046,171.70785308455635,197.74801271489508,160.0,4.332084578067207,0.11334129533976262,3.751495289565736,0.010709378502899618,0.05354689251449809,29.486835280904963,369.45586579945143,354248.82484731515,30135.0,8.086805555555555,ID2,1013821.556566142,0.3504409293523118,0.029811072515437746
1048,2024-05-16,2024-05-16 05:39:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,29,25,25,1013821.556566142,True,,-4343.750000000003,-5303.985879958737,153926.82040623372,462.31987263358116,188.06232107128727,4.646026488291236,2.7685174263004537,195.47686498587896,657.79673761946,302.4391423392742,160.0,46.53914802144195,2.3839255071577976,53.92056518830367,0.15392682040623368,0.7696341020311686,38.671942699933396,960.2358799587342,638649.9186189261,29500.0,7.18125,ID1,1008517.5706861833,0.629943124095784,0.02909782279626978
1050,2024-06-03,2024-06-03 05:20:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,20,111,20,1008517.5706861833,True,,-774.9999999999915,-5647.913791422318,1001283.4056830388,2722.613513506315,876.7738433325419,300.0416331482229,37.19260611394914,1214.0080825947139,3936.6215961010294,936.2921953212979,160.0,311.428682527168,15.089925409187096,350.74957701076846,1.0012834056830386,5.006417028415194,93.01630994007601,4872.9137914223265,738639.2205495143,5449.999999999987,10.194444444444445,BOD,1002869.656894761,0.7324009437405766,0.0054039712925297596
1052,2024-06-10,2024-06-10 07:59:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,23,65,23,1002869.656894761,True,,-891.2499999999902,-3311.1777548650043,616602.4350135478,1224.9089761387813,456.74571991615574,74.84945875900009,14.23761697376082,545.8327956489167,1770.7417717876979,649.185983077316,160.0,191.85638851305004,9.28896640178003,215.99583298524578,0.6166024350135477,3.083012175067739,68.34518056715888,2419.927754865014,724649.4212538002,10493.749999999984,10.084027777777775,ID2,999558.479139896,0.7225758764080777,0.010463722705991867
1053,2024-06-20,2024-06-20 07:57:00+00:00,validation_2024,short_iron_condor,growth,0.75,0.03,53,28,17,17,999558.479139896,True,,5971.249999999999,5516.760839413704,32448.568700968906,186.19149984858018,50.49261012842852,1.9103015068085318,1.1202295503951913,53.52314118563224,239.71464103421238,214.77451955208278,160.0,11.931282518729592,0.4007555001300468,11.366733615949409,0.032448568700968905,0.16224284350484452,30.88105650506794,454.48916058629516,449725.4972819426,29346.25,14.085416666666667,ID2,1005075.2399793097,0.44992414817882803,0.02935921270484542
