structure,lots,trades,mean_gross,mean_net,median_net,net_win_rate,mean_cost,mean_impact,mean_margin,mean_max_loss,selected_capacity_cap
short_iron_condor,8,72,1179.3055555555554,493.26991423730385,966.3903054088006,0.5972222222222222,686.0356413182516,66.78964936808977,350927.6325838278,27825.555555555555,False
short_iron_condor,9,72,1326.7187499999998,569.6902648758473,1099.631165005245,0.5972222222222222,757.0284851241526,83.97886870442262,394793.5866568063,31303.75,False
short_iron_condor,10,72,1474.1319444444443,644.2661171095908,1230.5400456774837,0.5972222222222222,829.8658273348535,103.01302967859831,438659.5407297848,34781.944444444445,False
short_iron_condor,11,72,1621.5451388888887,717.0119295601363,1359.1347880609492,0.5972222222222222,904.5332093287524,123.87767017690038,482525.4948027633,38260.13888888889,False
short_iron_condor,12,72,1768.958333333333,787.9400988425382,1485.4306884609086,0.5972222222222222,981.0182344907948,146.5603905901859,526391.4488757417,41738.333333333336,False
short_iron_condor,13,72,1916.3715277777778,857.0614051343844,1609.4410486445386,0.5972222222222222,1059.310122643393,171.05040813718762,570257.4029487203,45216.52777777778,False
short_iron_condor,14,72,2063.7847222222217,924.3853342519321,1731.1775732538356,0.5972222222222222,1139.3993879702898,197.3382347105893,614123.3570216987,48694.72222222222,False
short_iron_condor,15,72,2211.197916666666,989.920316812651,1850.6506649106318,0.5972222222222222,1221.2775998540155,225.41543765671906,657989.3110946772,52172.916666666664,False
short_iron_condor,16,72,2358.611111111111,1053.6739099524186,1967.8696484392303,0.5972222222222222,1304.937201158692,255.27445801446436,701855.2651676557,55651.11111111111,False
short_iron_condor,17,72,2506.024305555555,1115.652938149683,2082.8429446307246,0.5972222222222222,1390.371367405872,286.90846965709676,745721.2192406342,59129.305555555555,False
short_iron_condor,18,72,2653.4374999999995,1175.8636042470675,2195.578207233647,0.5972222222222222,1477.5738957529322,320.3112682438537,789587.1733136126,62607.5,False
short_iron_condor,19,72,2800.850694444444,1234.3115783021285,2306.0824325877966,0.5972222222222222,1566.5391161423154,355.47718234771907,833453.127386591,66085.69444444444,False
short_iron_condor,20,72,2948.2638888888887,1291.002069643576,2414.3620485351157,0.5972222222222222,1657.2618192453124,392.40100138180196,877319.0814595696,69563.88888888889,False
short_iron_condor,21,72,3095.677083333333,1345.9398859998473,2520.422987379018,0.5972222222222222,1749.7371973334857,431.0779164564799,921185.0355325481,73042.08333333333,False
short_iron_condor,22,72,3243.0902777777774,1399.1294825332084,2624.270746388054,0.5972222222222222,1843.960795244569,471.5034713334547,965050.9896055266,76520.27777777778,False
short_iron_condor,23,72,3390.5034722222217,1450.5750028898042,2732.212376497854,0.5972222222222222,1939.9284693324178,513.6735213657885,1008916.9436785051,79998.47222222222,False
