date,signals,lots,gross_pnl_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,maximum_margin_rupees,equity_rupees,peak_equity_rupees,drawdown_rupees,drawdown_pct,daily_return
2025-04-10,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-11,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-14,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-15,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-16,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-17,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-18,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-21,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-22,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-23,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-24,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-25,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-28,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-29,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-04-30,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-05-01,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-05-02,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-05-05,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-05-06,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
2025-05-07,0,0,0.0,0.0,0.0,0.0,0.0,1087037.4671584626,1087772.9619016976,-735.4947432349436,-0.0006761472926750667,0.0
