trade_id,trade_date,entry_ts,exit_ts,split,structure,span_time_slot,entry_dte,confidence_score,quality_switch_pass,skip_reason,lots,lot_size,margin_cap_lots,risk_cap_lots,binding_constraint,equity_before,margin_rupees,margin_utilization,max_loss_rupees,q95_cost_reserve_rupees,cash_risk_reserved_rupees,cash_risk_utilization,gross_pnl_rupees,base_slippage_rupees,ladder_impact_rupees,volume_impact_rupees,oi_impact_rupees,impact_rupees,slippage_rupees,brokerage_rupees,stt_rupees,stamp_duty_rupees,exchange_charges_rupees,sebi_charges_rupees,ipft_rupees,gst_rupees,charges_rupees,total_cost_rupees,net_pnl_rupees,turnover_rupees,position_net_return_on_margin,equity_after,drawdown_after_rupees,drawdown_after_pct,executed,profile,config_id
903,2021-08-12,2021-08-12 08:08:00+00:00,2021-08-12 14:38:00+05:30,discovery_2021_2023,short_iron_fly,ID2,6.0777777777777775,0.9027777777777778,True,,6,50.0,8,6,cash_risk,1006664.06497517,239104.21639416384,0.237521358627281,33600.0,1581.2903686756513,35181.290368675654,0.03494839201351985,5445.000000000001,132.06435790345301,11.191894737580766,4.579507227164665,0.8655934200209066,16.636995384766337,148.70135328821937,160.0,6.247726077446605,0.21597460524544285,6.899020363775046,0.019694605663074637,0.09847302831537319,30.06309383959563,203.54398252004114,352.2453358082605,5092.754664191741,19694.605663074635,0.021299309317893093,1011756.8196393616,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
904,2021-08-26,2021-08-26 05:40:00+00:00,,discovery_2021_2023,,,,0.2222222222222222,False,confidence_score_at_or_below_0.40,0,,8,0,quality_switch,1011756.8196393616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011756.8196393616,0.0,0.0,False,max_margin_efficiency_dd_1.5%,5628
905,2021-09-02,2021-09-02 05:57:00+00:00,2021-09-02 12:27:00+05:30,discovery_2021_2023,short_iron_fly,ID1,7.16875,0.4166666666666667,True,,7,50.0,8,7,cash_risk,1011756.8196393616,292409.5785724525,0.2890117199078343,34387.5,1844.176952565028,36231.67695256503,0.035810657511040775,-454.9999999999992,172.9388625269338,17.587002968840725,6.4483233684159735,1.3099301415530402,25.345256478809738,198.28411900574352,160.0,10.893265291255986,0.6731944410455314,15.4924887529956,0.04422634528402969,0.22113172642014844,31.636412428445958,218.96071898544724,417.2448379911908,-872.24483799119,44226.34528402968,-0.002982955764477693,1010884.5748013704,-872.2448379911948,-0.0008621091759006827,True,max_margin_efficiency_dd_1.5%,5628
908,2021-09-23,2021-09-23 06:04:00+00:00,,discovery_2021_2023,,,,0.2638888888888889,False,confidence_score_at_or_below_0.40,0,,8,0,quality_switch,1010884.5748013704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010884.5748013704,-872.2448379911948,-0.0008621091759006827,False,max_margin_efficiency_dd_1.5%,5628
909,2021-09-30,2021-09-30 07:51:00+00:00,2021-09-30 14:21:00+05:30,discovery_2021_2023,short_iron_fly,ID2,14.089583333333334,0.8055555555555556,True,,8,50.0,8,9,margin,1010884.5748013704,347297.7337857942,0.3435582483331838,31580.0,2114.463589658114,33694.46358965812,0.03333166261467465,5199.999999999999,230.4592963714395,27.342628383052144,5.008165166267652,2.363815660669908,34.7146092099897,265.1739055814292,160.0,16.18984265651131,0.8233457765581214,20.95653794942882,0.05982454453162666,0.29912272265813333,32.63678733899134,230.96546098867935,496.13936657010856,4703.86063342989,59824.54453162666,0.013544173128210307,1015588.4354348005,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
911,2021-10-14,2021-10-14 07:37:00+00:00,2021-10-14 14:07:00+05:30,discovery_2021_2023,short_iron_fly,ID2,7.099305555555556,1.0,True,,7,50.0,8,7,cash_risk,1015588.4354348005,310289.7551036363,0.3055270661592292,33705.0,1844.176952565028,35549.17695256503,0.035003526736049805,-2782.5000000000014,182.1167973341998,18.520352271274557,6.96911330916779,1.7538074851122496,27.2432730655546,209.3600703997544,160.0,10.27675922965294,0.7063613558911691,15.447843615250736,0.04409889698901151,0.2204944849450576,31.628238659493263,218.32379624222222,427.6838666419766,-3210.183866641978,44098.89698901151,-0.010345761707697316,1012378.2515681584,-3210.1838666420663,-0.003160910221735369,True,max_margin_efficiency_dd_1.5%,5628
912,2021-10-21,2021-10-21 05:22:00+00:00,2021-10-21 11:52:00+05:30,discovery_2021_2023,short_iron_fly,BOD,13.193055555555556,0.5,True,,7,50.0,7,12,margin,1012378.2515681584,318180.7458439601,0.3142903804493063,20860.000000000007,1844.176952565028,22704.176952565034,0.022426575163380497,3814.999999999999,252.55139238536418,25.68319244596924,9.069768834187771,3.2588638287841794,38.01182510894119,290.5632174943054,160.0,22.558693575655525,1.2477885110641607,30.37463123329678,0.08671033752011642,0.43355168760058205,34.361080786515146,249.0624561316523,539.6256736259577,3275.3743263740416,86710.33752011642,0.010294068290292861,1015653.6258945324,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
913,2021-11-03,2021-11-03 07:52:00+00:00,2021-11-03 14:22:00+05:30,discovery_2021_2023,short_iron_fly,ID2,8.088888888888889,0.75,True,,8,50.0,8,8,margin_and_cash_risk,1015653.6258945324,350582.6027948463,0.3451792952406114,35660.0,2114.463589658114,37774.46358965812,0.037192269713396064,6600.000000000002,192.27133562148686,22.811853378820476,4.869202409074312,2.049460373512733,29.73051616140752,222.0018517828944,160.0,14.53047223433553,0.6804883896136186,18.125884943430492,0.051743890789125016,0.2587194539456251,32.11854269186974,225.76585160398412,447.76770338687857,6152.232296613123,51743.89078912501,0.017548595530889142,1021805.8581911456,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
914,2021-11-18,2021-11-18 06:18:00+00:00,2021-11-18 12:48:00+05:30,discovery_2021_2023,short_iron_fly,ID1,14.154166666666669,0.4027777777777778,True,,8,50.0,8,10,margin,1021805.8581911456,348957.7349976597,0.3415107989451176,28980.0,2114.463589658114,31094.463589658113,0.030430891876763327,1919.9999999999995,220.00391577569422,26.102159498811183,7.8128263324947795,2.341319857700409,36.25630568900637,256.26022146470063,160.0,18.965335536878086,1.0880079388566264,25.99142010985266,0.07419760236897704,0.3709880118448853,33.55858903033197,240.0485382301332,496.3087596948338,1423.6912403051656,74197.60236897704,0.004079838609437082,1023229.5494314508,0.0,0.0,True,max_margin_efficiency_dd_1.5%,5628
919,2021-12-23,2021-12-23 05:46:00+00:00,2021-12-23 12:16:00+05:30,discovery_2021_2023,short_iron_fly,ID1,14.176388888888887,0.6805555555555556,True,,8,50.0,8,9,margin,1023229.5494314508,339653.6411597409,0.3319427603986483,30739.999999999996,2114.463589658114,32854.46358965811,0.032108595385965374,-4940.000000000001,244.40684545821836,28.997422342500485,6.910114160171065,2.0440980059579035,37.95163450862945,282.35847996684777,160.0,18.40611247585843,1.2610375029505114,27.62003697670522,0.07884680838340058,0.39423404191700284,33.85676120886101,241.61702901467555,523.9755089815234,-5463.975508981524,78846.80838340057,-0.0160869039717192,1017765.5739224692,-5463.975508981617,-0.005339931310640589,True,max_margin_efficiency_dd_1.5%,5628
